username,id,title,artist,explicit,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
deadpan.typicalnerdbird1492,1FTB2jJeWjjfWyWeHMgK5H,water color (English Ver.),Whee In,False,34,0.757,0.616,-3.332,0.0666,0.0684,0.0,0.0525,0.821,108.047
deadpan.typicalnerdbird1492,66orj0qtDgnU6DlmllAxbq,Left & Right,SEVENTEEN,False,0,0.725,0.823,-3.868,0.115,0.132,0.0,0.104,0.958,149.994
deadpan.typicalnerdbird1492,6I2tqFhk8tq69iursYxuxd,HOT,SEVENTEEN,False,77,0.765,0.777,-4.376,0.0399,0.0539,2.58e-06,0.338,0.64,111.944
deadpan.typicalnerdbird1492,32a4VTrERonx9WDjSC5iez,Young Boss 2.0,"Lambert凌, 十七草",False,49,0.954,0.874,-4.021,0.205,0.112,0.0,0.158,0.826,103.952
deadpan.typicalnerdbird1492,5RvuQYqw1KZanRWDGAZrQd,CHEESE,Stray Kids,False,0,0.376,0.947,-2.388,0.272,0.0299,0.0,0.164,0.578,89.634
deadpan.typicalnerdbird1492,5xTy9p0IXI8lRaU6iLGikC,Is this bad b****** number?,"JEON SOYEON, BIBI, Lee Young Ji",True,59,0.901,0.637,-4.453,0.254,0.0802,0.0,0.0486,0.715,90.958
deadpan.typicalnerdbird1492,1t8sqIScEIP0B4bQzBuI2P,MY BAG,(G)I-DLE,False,74,0.838,0.823,-3.929,0.164,0.0864,7.12e-05,0.156,0.759,94.024
deadpan.typicalnerdbird1492,2D2pqz9UjxOsLbucKFAHTV,我的新衣 (feat. Ty. & 王倩倩),"VaVa, 王倩倩, Ty.",False,46,0.586,0.816,-6.736,0.199,0.0757,4.08e-05,0.169,0.648,179.896
deadpan.typicalnerdbird1492,6sGwSdHaAeNWhPJoID2jfY,有吗炒面,Lexie Liu,False,0,0.545,0.89,-3.396,0.0671,0.0983,0.000338,0.116,0.528,75.963
deadpan.typicalnerdbird1492,6RTF5urAOB5C52nLxeRK5h,Pose,Red Velvet,False,56,0.841,0.831,-3.675,0.0526,0.0617,0.0,0.101,0.762,124.965
deadpan.typicalnerdbird1492,11RRkvXd7FvwxLWvtuBIR1,SHOOT!,ITZY,False,0,0.852,0.759,-4.45,0.0495,0.353,1.86e-06,0.152,0.911,131.946
deadpan.typicalnerdbird1492,2cnhL9Xb7jlTuUs4taxJSB,WANNABE - English Ver.,ITZY,False,47,0.822,0.902,-4.18,0.0587,0.00392,0.000102,0.192,0.69,122.004
deadpan.typicalnerdbird1492,3bidbhpOYeV4knp8AIu8Xn,Can't Hold Us (feat. Ray Dalton),"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton",False,83,0.641,0.922,-4.457,0.0786,0.0291,0.0,0.0862,0.847,146.078
deadpan.typicalnerdbird1492,7hU3IHwjX150XLoTVmjD0q,MONEY,LISA,False,80,0.831,0.554,-9.998,0.218,0.161,6.12e-05,0.152,0.396,140.026
deadpan.typicalnerdbird1492,0fbtOsUiGFYSXqs4HN8iNI,Period,CHANMINA,False,33,0.892,0.725,-8.066,0.184,0.0878,0.0,0.0436,0.777,98.979
