username,id,title,artist,explicit,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
deadpan.typicalnerdbird1492,2771LMNxwf62FTAdpJMQfM,Bodak Yellow,Cardi B,True,59,0.929,0.723,-5.792,0.109,0.0672,0.0,0.346,0.458,125.022
deadpan.typicalnerdbird1492,6C7ZgThn6Yan5MTZdAEEFw,Mama Said Knock You Out,LL COOL J,True,64,0.791,0.759,-7.378,0.129,0.0314,0.674,0.255,0.619,102.382
deadpan.typicalnerdbird1492,6TrNRd98WksT9Kkmx9uj6R,Let It Rock,"Kevin Rudolf, Lil Wayne",True,67,0.607,0.783,-4.41,0.0397,0.000683,0.0,0.0678,0.434,113.172
deadpan.typicalnerdbird1492,6etuQn3IkhqFU8RA14b5US,Welcome To The World,"Kevin Rudolf, Rick Ross",True,43,0.602,0.932,-4.05,0.066,0.00535,0.0,0.248,0.619,116.017
deadpan.typicalnerdbird1492,5iJfzXKvQXlYOBtEQhEmpA,"Tokyo Drift (Fast & Furious) - From ""The Fast And The Furious: Tokyo Drift"" Soundtrack",Teriyaki Boyz,False,67,0.761,0.892,-5.354,0.133,0.178,4.19e-05,0.0712,0.935,127.04
deadpan.typicalnerdbird1492,0VVNXqaDwfHngG2gXaOtlI,Oh No!,MARINA,False,0,0.776,0.9,-3.97,0.0382,0.058,0.0,0.256,0.963,127.051
deadpan.typicalnerdbird1492,26EM9sZnQkLLQxixGd88KE,I Am The Best,2NE1,False,67,0.819,0.844,-3.739,0.038,0.00767,0.00834,0.056,0.687,127.997
deadpan.typicalnerdbird1492,67Rp52YJgwEDO2zYfbxzGk,场上称霸,Vinida Weng,False,38,0.815,0.526,-7.873,0.204,0.045,0.0,0.0778,0.395,97.02
deadpan.typicalnerdbird1492,089XJfZCapAEf3dkVoGQtq,Problem,Natalia Kills,False,51,0.549,0.955,-3.145,0.27,0.148,3.21e-05,0.441,0.669,169.886
deadpan.typicalnerdbird1492,6h7AmUi3ghBeEfsZygAxOd,Venus Fly Trap,MARINA,True,63,0.586,0.856,-4.392,0.0512,0.0883,1.73e-06,0.341,0.518,135.095
deadpan.typicalnerdbird1492,32a4VTrERonx9WDjSC5iez,Young Boss 2.0,"Lambert凌, 十七草",False,49,0.954,0.874,-4.021,0.205,0.112,0.0,0.158,0.826,103.952
deadpan.typicalnerdbird1492,6vq6B6ENjap5Ea1T4GkrFA,BIBI Vengeance,BIBI,False,56,0.442,0.748,-4.718,0.0895,0.0272,0.000128,0.0642,0.408,99.981
deadpan.typicalnerdbird1492,3bidbhpOYeV4knp8AIu8Xn,Can't Hold Us (feat. Ray Dalton),"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton",False,83,0.641,0.922,-4.457,0.0786,0.0291,0.0,0.0862,0.847,146.078
deadpan.typicalnerdbird1492,6k67RdkVjTZj79c1cRz7IQ,WONDERLAND,ATEEZ,False,68,0.572,0.964,-1.949,0.123,0.0503,0.0,0.372,0.519,129.979
deadpan.typicalnerdbird1492,1t8sqIScEIP0B4bQzBuI2P,MY BAG,(G)I-DLE,False,74,0.838,0.823,-3.929,0.164,0.0864,7.12e-05,0.156,0.759,94.024
deadpan.typicalnerdbird1492,7dgO6H1BxXeXfxDkiDN8E9,난리나,Block B,False,57,0.78,0.956,-3.69,0.0882,0.0523,0.0,0.0675,0.921,114.971
deadpan.typicalnerdbird1492,4fZYGHiRcKxwVSnF498uaE,닐리리맘보,Block B,False,61,0.756,0.837,-2.711,0.0524,0.0131,0.0,0.0943,0.537,109.937
deadpan.typicalnerdbird1492,3UUMOv0BGV1QQCyoQBkpGF,Straw Doll Technique Resonance,"RIN, 照井順政",False,37,0.571,0.655,-5.558,0.242,0.00053,0.0,0.0677,0.803,153.984
deadpan.typicalnerdbird1492,78qd8dvwea0Gosb6Fe6j3k,Boss Bitch,Doja Cat,False,80,0.707,0.955,-4.593,0.222,0.127,0.0,0.202,0.575,125.989
deadpan.typicalnerdbird1492,3px2rAPu74ltbkf9eZsZ8h,Emperor's New Clothes,Panic! At The Disco,False,70,0.562,0.904,-4.947,0.0807,0.00302,0.0,0.0433,0.651,94.481
deadpan.typicalnerdbird1492,27NovPIUIRrOZoCHxABJwK,INDUSTRY BABY (feat. Jack Harlow),"Lil Nas X, Jack Harlow",True,83,0.736,0.704,-7.409,0.0615,0.0203,0.0,0.0501,0.894,149.995
deadpan.typicalnerdbird1492,0aE3V0zgSD2YwkEHW42gxG,Burning Up (Fire),BTS,False,71,0.626,0.706,-3.201,0.0596,0.00225,0.0,0.122,0.534,99.939
deadpan.typicalnerdbird1492,3wyrhwPpV8uhMMEms4vG3X,Not Today,BTS,False,70,0.593,0.945,-3.408,0.126,0.00174,0.0,0.923,0.674,110.023
deadpan.typicalnerdbird1492,7eBpUuPnDTfbeP1P4P93CS,Fighting (Feat. Lee Young Ji),"BSS, Lee Young Ji",False,78,0.707,0.86,-2.935,0.191,0.103,0.0,0.0989,0.922,152.026
deadpan.typicalnerdbird1492,3dI59jLoFMjMAyUAyRZnkE,BANG BANG BANG,BIGBANG,False,68,0.69,0.843,-2.949,0.0534,0.0167,0.0,0.346,0.428,135.01
1283949946,7yNf9YjeO5JXUE3JEBgnYc,Babydoll,Dominic Fike,False,78,0.762,0.604,-5.296,0.11,0.114,0.0,0.0271,0.847,168.007
1283949946,1uKjQoh8JZj9ryuYRhpd7E,Ahora Te Puedes Marchar,Luis Miguel,False,82,0.78,0.877,-3.683,0.0427,0.148,2.36e-06,0.0627,0.909,133.263
1283949946,5ruzrDWcT0vuJIOMW7gMnW,The Adults Are Talking,The Strokes,False,80,0.593,0.749,-5.67,0.0475,0.0113,0.106,0.314,0.649,164.959
1283949946,0mCVNGC4Vvb6gDDQrDpaRh,Les,Childish Gambino,True,12,0.524,0.674,-7.038,0.0895,0.00654,9.3e-05,0.221,0.128,102.901
1283949946,5Vth7eImumlAyhsW8PqqAM,Naked,Bickle,False,54,0.815,0.497,-9.65,0.0547,0.000104,0.0219,0.071,0.472,126.046
1283949946,6dET51TwAJPrKV5wmA5Vhr,Dontcha,The Internet,False,56,0.861,0.346,-12.033,0.0702,0.0161,0.127,0.104,0.579,115.264
1283949946,6yLX8QnxlnEqZfs3YKCfjF,Tears Dry On Their Own,Amy Winehouse,True,65,0.643,0.871,-2.734,0.118,0.491,0.0,0.29,0.452,121.569
1283949946,0rN5OBAJpd9bw7uvvJsRek,So Lonely - Remastered 2003,The Police,False,0,0.518,0.582,-8.407,0.152,0.0163,1.54e-06,0.0836,0.697,77.737
