username,id,title,artist,explicit,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
tiffxny.lee,2Hh3ETdQKrmSI3QS0hme7g,Too Many Nights (feat. Don Toliver & with Future),"Metro Boomin, Future, Don Toliver",True,87,0.684,0.671,-4.392,0.0464,0.189,2.37e-05,0.122,0.156,88.048
tiffxny.lee,7JuHVG3qQKQKxC4doneXVW,Back in Blood (feat. Lil Durk),"Pooh Shiesty, Lil Durk",True,72,0.759,0.538,-8.256,0.384,0.151,0.0,0.126,0.831,146.933
tiffxny.lee,4Km5HrUvYTaSUfiSGPJeQR,Bad and Boujee (feat. Lil Uzi Vert),"Migos, Lil Uzi Vert",True,5,0.926,0.666,-5.314,0.244,0.0611,0.0,0.123,0.168,127.079
tiffxny.lee,1EJIcDYXwSqipW5dFe4uJz,EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),"DJ Khaled, Lil Baby, Lil Durk",True,77,0.477,0.727,-4.053,0.286,0.000866,0.0,0.108,0.227,150.062
tiffxny.lee,6uFn47ACjqYkc0jADwEdj1,Pop Out (feat. Lil Tjay),"Polo G, Lil Tjay",True,79,0.772,0.639,-7.119,0.467,0.15,0.0,0.0698,0.261,168.112
tiffxny.lee,2BcMwX1MPV6ZHP4tUT9uq6,Knife Talk (with 21 Savage ft. Project Pat),"Drake, 21 Savage, Project Pat",True,83,0.849,0.424,-9.579,0.324,0.0635,0.0,0.0834,0.153,145.887
tiffxny.lee,1wJRveJZLSb1rjhnUHQiv6,Swervin (feat. 6ix9ine),"A Boogie Wit da Hoodie, 6ix9ine",True,74,0.581,0.662,-5.239,0.303,0.0153,0.0,0.111,0.434,93.023
tiffxny.lee,0OPyDgTRuIdCJ9B4bYSths,Hotel Room Service,Pitbull,False,72,0.85,0.631,-8.401,0.227,0.00684,0.000406,0.0679,0.738,126.002
tiffxny.lee,1KhljCoJ2TgDEldnnfTHHc,Party (feat. Usher & Gucci Mane),"Chris Brown, Usher, Gucci Mane",True,68,0.762,0.576,-4.951,0.0829,0.0556,0.0,0.0866,0.316,142.096
tiffxny.lee,03tqyYWC9Um2ZqU0ZN849H,No Hands (feat. Roscoe Dash & Wale),"Waka Flocka Flame, Roscoe Dash, Wale",True,77,0.76,0.595,-6.366,0.0391,0.00544,0.0,0.241,0.361,131.497
tiffxny.lee,6ebkx7Q5tTxrCxKq4GYj0Y,Club Can't Handle Me (feat. David Guetta),"Flo Rida, David Guetta",False,78,0.616,0.869,-3.911,0.0327,0.0283,0.0,0.064,0.473,127.966
tiffxny.lee,1kPpge9JDLpcj15qgrPbYX,Good Time,"Owl City, Carly Rae Jepsen",False,79,0.56,0.872,-4.269,0.14,0.0239,6.98e-06,0.371,0.682,126.05
tiffxny.lee,2bJvI42r8EF3wxjOuDav4r,Time of Our Lives,"Pitbull, Ne-Yo",True,82,0.721,0.802,-5.797,0.0583,0.0921,0.0,0.694,0.724,124.022
tiffxny.lee,4vvnuJlgBeNVwq3TNmLMNX,Jackie Chan,"Tiësto, Dzeko, Preme, Post Malone",True,66,0.747,0.833,-2.867,0.045,0.374,0.0,0.0586,0.687,128.008
tiffxny.lee,190jyVPHYjAqEaOGmMzdyk,Beauty And A Beat,"Justin Bieber, Nicki Minaj",False,77,0.602,0.843,-4.831,0.0593,0.000688,5.27e-05,0.0682,0.526,128.003
tiffxny.lee,16Of7eeW44kt0a1M0nitHM,You Make Me Feel... (feat. Sabi),"Cobra Starship, Sabi",False,71,0.668,0.857,-2.944,0.0535,0.0191,6.71e-06,0.0385,0.748,131.959
tiffxny.lee,4dTaAiV9xFFCxnPur9c9yL,Memories (feat. Kid Cudi),"David Guetta, Kid Cudi",False,69,0.561,0.87,-6.103,0.343,0.0015,2.82e-06,0.246,0.498,129.98
tiffxny.lee,1bM50INir8voAkVoKuvEUI,OMG (feat. will.i.am),"Usher, will.i.am",False,74,0.781,0.745,-5.81,0.0332,0.198,1.14e-05,0.36,0.326,129.998
