username,id,title,artist,explicit,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
deadpan.typicalnerdbird1492,0vNzSqWSSf1Y1gs2jmQbyu,Above (Haikyuu) [Lofi Remix],nyzohx,False,19,0.628,0.197,-20.522,0.0805,0.884,0.843,0.0891,0.363,135.172
deadpan.typicalnerdbird1492,60zlkOrTCHjpRTd1g6PI5y,Chinese Satellite,Phoebe Bridgers,False,0,0.302,0.444,-9.948,0.0453,0.754,0.0244,0.152,0.379,120.026
deadpan.typicalnerdbird1492,1r8UXSVkuABgWj3kHEaIh3,Hat Trick,Lexie Liu,False,0,0.558,0.58,-5.293,0.0932,0.522,0.0,0.109,0.431,177.047
deadpan.typicalnerdbird1492,7fXkNQfwKD2d8Sb1fbE6EZ,Bygone,Lexie Liu,False,30,0.717,0.592,-6.835,0.029,0.0452,0.132,0.0989,0.217,117.988
deadpan.typicalnerdbird1492,5jSuSxPNY1BOQjjnGnyrEw,後會無期,G.E.M.,False,46,0.412,0.149,-13.74,0.0387,0.932,0.0,0.108,0.256,101.964
deadpan.typicalnerdbird1492,3w10qlA65AgyaMk7tk93tw,捉迷藏,Lexie Liu,False,32,0.602,0.333,-10.052,0.037,0.906,0.0,0.0719,0.269,96.132
deadpan.typicalnerdbird1492,3XXBdntUrvuxtNCrCAnV3V,巴别塔的猫 A BABEL CAT,Lexie Liu,False,31,0.52,0.392,-7.173,0.0288,0.434,0.000169,0.226,0.148,143.978
deadpan.typicalnerdbird1492,4MqBQNJeivOhL6kkvunDkN,Deep Down,Lexie Liu,False,33,0.628,0.626,-6.921,0.0364,0.312,0.000144,0.111,0.36,139.997
deadpan.typicalnerdbird1492,4H73CNDBQpE9gp3YTFfC7y,Reading In Bed,Emily Haines & The Soft Skeleton,False,42,0.511,0.204,-14.518,0.0256,0.906,0.36,0.111,0.0999,77.904
deadpan.typicalnerdbird1492,07c66SO9kYqa5GSmvLsQZy,Smoke Signals (feat. Tessa Violet),"Cavetown, Tessa Violet",False,53,0.573,0.16,-16.587,0.037,0.933,0.000111,0.109,0.246,104.708
