username,id,title,artist,explicit,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
aaa9rnpre89bf2i0tx7ihyem0,76lZGNivdvaevBxiALgx32,Euphoria,Smyang Piano,False,0,0.428,0.0985,-25.133,0.0446,0.974,0.949,0.119,0.153,70.003
aaa9rnpre89bf2i0tx7ihyem0,2V1aBVAXcY4jqQRBRxi2kQ,Spring Day,Smyang Piano,False,0,0.384,0.132,-18.34,0.0456,0.974,0.938,0.0957,0.0394,115.968
aaa9rnpre89bf2i0tx7ihyem0,1AhowQ2q4eFpNsqJd5hOxJ,Fake Love,Smyang Piano,False,0,0.262,0.014,-27.393,0.042,0.995,0.921,0.106,0.105,138.986
aaa9rnpre89bf2i0tx7ihyem0,6fJZ9wPI4YoqGUb7eCyOQ1,Love Scenario,Smyang Piano,False,0,0.297,0.173,-26.933,0.0523,0.994,0.956,0.144,0.305,171.88
aaa9rnpre89bf2i0tx7ihyem0,6Q6z6NRj5tlKxf7B4x5lbX,Feel Special (Sad Ver.),DooPiano,False,0,0.61,0.244,-18.193,0.0496,0.968,0.872,0.0762,0.11,119.872
aaa9rnpre89bf2i0tx7ihyem0,5DdFfttrCKUeOqsooKfQss,Eight,DooPiano,False,0,0.636,0.281,-16.901,0.0573,0.983,0.903,0.115,0.0855,118.928
aaa9rnpre89bf2i0tx7ihyem0,158FX7wtb9csvgHshvHkR8,Psycho,DooPiano,False,0,0.515,0.254,-16.994,0.0432,0.979,0.889,0.18,0.0646,137.594
aaa9rnpre89bf2i0tx7ihyem0,5hA45I1OlOp0bkrnJ1RTVJ,Ice Cream,DooPiano,False,0,0.518,0.215,-17.573,0.0459,0.987,0.891,0.107,0.18,136.725
aaa9rnpre89bf2i0tx7ihyem0,4WRJzi3ExPiibZCPpqlG6C,Stay Gold,DooPiano,False,0,0.512,0.121,-18.794,0.0402,0.979,0.902,0.0795,0.0376,122.959
aaa9rnpre89bf2i0tx7ihyem0,4wDc2HHuGQvzmCV0CKC46S,Not Shy,DooPiano,False,0,0.477,0.291,-17.319,0.0448,0.981,0.866,0.125,0.181,94.608
aaa9rnpre89bf2i0tx7ihyem0,2iIyTzkrcaGzHtwav1SCnF,Into The New World,DooPiano,False,0,0.551,0.118,-20.134,0.0433,0.993,0.945,0.0887,0.0747,96.405
aaa9rnpre89bf2i0tx7ihyem0,6XiqW5Q0yxuye8tk4OhnJF,Secret Story of the Swan,DooPiano,False,0,0.572,0.25,-16.895,0.0424,0.962,0.865,0.167,0.284,98.735
aaa9rnpre89bf2i0tx7ihyem0,6GSJnyahmtMg8YVZqZY1W3,Don't Wanna Cry,DooPiano,False,0,0.47,0.111,-20.119,0.0454,0.991,0.933,0.0691,0.0781,95.215
aaa9rnpre89bf2i0tx7ihyem0,2Sqdy1nkWllSjnsQQeBzZ4,Love Shot,DooPiano,False,0,0.494,0.21,-17.08,0.0406,0.975,0.915,0.109,0.156,143.215
aaa9rnpre89bf2i0tx7ihyem0,3sPzR1hBJgWpn5EAYL30MN,La Vie en Rose,DooPiano,False,0,0.555,0.262,-17.975,0.041,0.975,0.866,0.0983,0.263,112.52
aaa9rnpre89bf2i0tx7ihyem0,4BR71tg3LgCGnWHjPLjXAP,SOLO,DooPiano,False,0,0.544,0.227,-17.265,0.044,0.977,0.898,0.0921,0.102,93.398
aaa9rnpre89bf2i0tx7ihyem0,7lqSNWDxaBsfIsxECGile7,As If It's Your Last,Kairos Covers,False,0,0.471,0.412,-13.443,0.0578,0.987,0.893,0.126,0.16,123.205
aaa9rnpre89bf2i0tx7ihyem0,7HcYTPtPZUhVwfJdpHqPZW,Lovesick Girls,Kairos Covers,False,0,0.583,0.395,-15.153,0.0498,0.901,0.919,0.113,0.425,117.39
aaa9rnpre89bf2i0tx7ihyem0,1SmqqNWYBhuacOmk2w7cmQ,Pretty Savage,DooPiano,False,24,0.516,0.225,-18.107,0.0434,0.989,0.887,0.0907,0.399,144.893
aaa9rnpre89bf2i0tx7ihyem0,3rN3Sz0STgae3yaCO0Q8Me,Likey,Funguypiano,False,0,0.315,0.357,-14.061,0.0487,0.915,0.466,0.189,0.118,123.779
aaa9rnpre89bf2i0tx7ihyem0,3JIuFXKCv2C9lVBnRDW4sm,What is Love?,Funguypiano,False,0,0.235,0.399,-13.962,0.0393,0.946,0.913,0.181,0.13,89.733
aaa9rnpre89bf2i0tx7ihyem0,4FFqpfvPH5xUF3unSaCwYb,Dance the Night Away,Funguypiano,False,0,0.27,0.339,-14.941,0.0382,0.951,0.867,0.077,0.361,114.634
aaa9rnpre89bf2i0tx7ihyem0,54YkRB8R2zJ8AyISRkrJrT,Stay,Funguypiano,False,0,0.312,0.372,-15.135,0.0347,0.868,0.92,0.195,0.254,89.319
