StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q7,Q5,Q6,Q6,Q8_1,Q8_2,Q8_3,Q8_4,Q9,Q10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q12
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What college are you primarily affiliated with?,What is your (primary) major?,What year are you?,Gender,Extracurricular involvements (select all that apply),Are you an international or domestic (U.S.) student?,What country are you from?,What state are you from?,How do you perceive yourself? - Low energy (0) vs. High energy (10),How do you perceive yourself? - Pessimistic (0) vs. Optimistic (10),How do you perceive yourself? - Introverted (0) vs. Extroverted (10),How do you perceive yourself? - Logical (0) vs. Emotional (10),"Link your Spotify profile here—this provides us with access to your public playlists. 
(ex. https://open.spotify.com/user/your_username)","Link a Spotify playlist that captures your music taste.



(This can be a playlist you listen to frequently, or this can be the contents of your Liked Songs copied into a playlist. Just make sure it's publicly accessible!)","If you have Spotify playlists for the following activities, please link them below. - Workout/gym","If you have Spotify playlists for the following activities, please link them below. - Study","If you have Spotify playlists for the following activities, please link them below. - Going out/party","If you have Spotify playlists for the following activities, please link them below. - Sleep","If you have Spotify playlists for the following activities, please link them below. - Commuting to class","If you would like the chance to win a $15 giftcard, please enter your Cornell email."
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID5""}","{""ImportId"":""QID14""}","{""ImportId"":""QID8""}","{""ImportId"":""QID10""}","{""ImportId"":""QID17""}","{""ImportId"":""QID11""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID18_2""}","{""ImportId"":""QID18_3""}","{""ImportId"":""QID18_4""}","{""ImportId"":""QID19_TEXT""}","{""ImportId"":""QID20_TEXT""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID21_2""}","{""ImportId"":""QID21_3""}","{""ImportId"":""QID21_4""}","{""ImportId"":""QID21_5""}","{""ImportId"":""QID24_TEXT""}"
2023-04-12 15:22:47,2023-04-12 15:24:16,IP Address,*******,100,89,True,2023-04-12 15:24:17,R_2YtbSvySpz2s87b,*******,*******,*******,*******,*******,*******,qr,EN,(CALS) College of Agriculture and Life Sciences,Biometry and Statistics,"Undergraduate, 4th year (2023)",Male,"Project team,Other club/team",Domestic,,Florida,4,7,4,2,N/A,N/A,,,,,,
2023-04-12 15:22:48,2023-04-12 15:26:13,IP Address,*******,100,205,True,2023-04-12 15:26:14,R_24ixQUbGn1AHnjs,*******,*******,*******,*******,*******,*******,qr,EN,(AS) College of Arts and Sciences,Computer Science,"Undergraduate, 1st year (2026)",Male,Other club/team,International,Korea South,,7,8,7,4,https://open.spotify.com/user/6cjzkudbvmwfe963clvemzwkj?si=IWqFrs39QyGRaWApMgiZ2g,https://open.spotify.com/playlist/5Kwx1SSB0poloL4c8bYjbi?si=tYGNnUVwR1Ovh1W8fOVfEA&pt=d8599803d6ed7acb67aebee6d10b992d,,https://open.spotify.com/playlist/37HUliOloWGEI8xcwDP4gO?si=R1nLqHidSfGU5gERcXFp3A,,https://open.spotify.com/playlist/37HUliOloWGEI8xcwDP4gO?si=R1nLqHidSfGU5gERcXFp3A,https://open.spotify.com/playlist/5Kwx1SSB0poloL4c8bYjbi?si=kvg9dowXT5OZMCdv2b5aZg,
2023-04-12 15:22:51,2023-04-12 15:26:40,IP Address,*******,100,229,True,2023-04-12 15:26:41,R_aWSgue6VU9HyHMR,*******,*******,*******,*******,*******,*******,qr,EN,(AS) College of Arts and Sciences,Government,"Undergraduate, 1st year (2026)",Female,Professional club,International,Indonesia,,6,4,8,5,https://open.spotify.com/user/vqlx3sn88fh9295cpn4z7toip?si=n_cPRMHBR_-9lgIbKG1R3g,https://open.spotify.com/playlist/6huxxOvKkbRujM52ZhPh6t?si=j_2IVfaLQSuHb0Mi4tTZGw,,,,,,
2023-04-12 15:23:43,2023-04-12 15:27:00,IP Address,*******,100,196,True,2023-04-12 15:27:01,R_1ZlhfgfxDDChj8d,*******,*******,*******,*******,*******,*******,qr,EN,(ENG) College of Engineering,Operations Research and Engineering,"Undergraduate, 1st year (2026)",Male,Greek life,International,United States,,7,8,7,5,N/A,N/A,,,,,,
2023-04-12 15:23:38,2023-04-12 15:27:54,IP Address,*******,100,255,True,2023-04-12 15:27:55,R_3VhV0o58jU19TgZ,*******,*******,*******,*******,*******,*******,qr,EN,(CALS) College of Agriculture and Life Sciences,Biometry and Statistics,"Undergraduate, 1st year (2026)",Male,Other club/team,Domestic,,New York,6,7,7,6,https://spotify.link/TMooCDXNWyb,https://spotify.link/j4bwrv0NWyb,https://spotify.link/syJm5f6NWyb,,,,,
2023-04-12 15:22:52,2023-04-12 15:27:57,IP Address,*******,100,304,True,2023-04-12 15:28:00,R_eb7uAMgObdAnDKp,*******,*******,*******,*******,*******,*******,qr,EN,(ENG) College of Engineering,Cognitive Science,"Undergraduate, 1st year (2026)",Male,"Project team,Other club/team",Domestic,,New Jersey,4,4,4,4,https://open.spotify.com/user/m3l6ktgr5im6yormbf36etw78?si=EMuJ9dHESQeYdI-tp9vjOA,https://open.spotify.com/playlist/3Tp8L5xWN4OQCiq2AmlrcW?si=lG0smKEZTBirZK3XW6ATnQ,https://open.spotify.com/playlist/4ueOZx7jYJC1s5DIx7Z5gx?si=CfCx6XBiTWOuGE7gp3iZNg,,,,,
2023-04-12 15:22:53,2023-04-12 15:31:17,IP Address,*******,100,504,True,2023-04-12 15:31:17,R_2zvCkP5x6cFU7Wq,*******,*******,*******,*******,*******,*******,qr,EN,(ILR) School of Industrial and Labor Relations,Industrial and Labor Relations,"Undergraduate, 3rd year (2024)",Female,"Professional club,Other club/team",Domestic,,New York,5,7,5,7,https://open.spotify.com/user/t4llwr7d08bca91rqn1ro2aau?si=Vsg4CeA6QxGhR19cqmYFzw&dd=1,https://open.spotify.com/playlist/76R0Tg5FCTrbPncMbLpRTO?si=qP76fvPMRM2NS3IEsJf2Hw&dd=1,,,,,,
2023-04-12 19:11:33,2023-04-12 19:13:47,IP Address,*******,100,134,True,2023-04-12 19:13:50,R_x9plVUB2wt5mmK5,*******,*******,*******,*******,*******,*******,anonymous,EN,(ENG) College of Engineering,Computer Science,"Undergraduate, 4th year (2023)",Male,Project team,Domestic,,Texas,5,8,5,3,https://open.spotify.com/user/ejlity?si=B7MbIeFaQ1WzSanzYIs48Q&dd=1,https://open.spotify.com/playlist/07epaq8mPbCBZyy3jYB7s6?si=Cpr2S8F6Qsuc0F8wEqQvSA&dd=1,,,,,,
